RA Named Entity tags	Named Entity Annotation
de	 
COMP.demonym	the geographical origin of a person
COMP.func	a function or job of a named person
COMP.name	first, middle and last names as well as nickname and initials of a person
COMP.qualifier	specifies a person in the form of a qualifying adjective
COMP.title	title or designator of a person
EVENT	an event
LOC.add	physical & electronic addresses
LOC.adm	a territory with a geopolitical border (e.g., cities, countries & continents)
LOC.fac	named buildings (train station & museum) & their extensions (stadium & campus); a physical location of an organisation
LOC.oro	an oronym (e.g., are streets, squares, roads & highways)
LOC.phys	a physical location (e.g., mountains, rivers & planets)
ORG.adm	an organisation which plays a mainly administrative role
ORG.ent	an organisation which doesn’t play a mainly administrative role
PER.coll	more than one individual
PER.ind	an individual
PROD.media	media production (e.g., newspapers, magazines & sales catalogues)
TIME.date.abs	an absolute date (specific date, not a relative date)
